id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Mekhi;Rath;Patsy.Russel@hotmail.com;world-class Frozen IB;2019-10-15T07:14:47;44945;33089
2;Austen;Bergnaum;Elvera66@yahoo.com;New York tangible Mississippi;2019-10-15T13:00:55;11959;97171
3;Meta;Stanton;Mireille77@hotmail.com;Avon;2019-10-15T09:39:36;71066;42754
4;Bernita;Balistreri;Bernadette89@yahoo.com;Harbor Montana;2019-10-15T05:30:48;90756;13933
5;Delphia;Mitchell;Kamille22@yahoo.com;Generic neutral Salad;2019-10-14T23:53:35;62435;80812
6;Electa;Nader;Saul.Klocko18@gmail.com;Human Ghana;2019-10-15T02:49:38;12208;89609
7;Fleta;Halvorson;Bernice64@hotmail.com;Jewelery cutting-edge;2019-10-15T14:53:27;695;16465
8;Johnathon;Lesch;Jazmin.Ernser26@yahoo.com;User-centric Gloves;2019-10-15T16:57:19;51879;55810
9;Maynard;Jacobson;Aniyah96@yahoo.com;Quality-focused;2019-10-15T10:16:18;71227;30087
10;Caleigh;Graham;Alfredo_Gleason@hotmail.com;paradigms Home;2019-10-15T13:55:26;90826;63435
